#{"t_start": 1715282106.299728, "env_id": "None"}
r,l,t
-1000.0,1,0.51082
-995.816324,2,0.512304
-809.413996,6,0.515413
-900.0,2,0.516459
-503.795611,8,0.52047
-859.035563,6,0.523522
-900.0,2,0.524571
-1000.0,1,0.525113
-947.17505,2,0.526171
-800.0,3,0.527717
-622.650111,7,0.531265
-1000.0,1,0.531807
-831.490303,5,0.534329
-369.721946,8,0.53833
-998.125879,2,0.539368
-832.590739,6,0.542387
-900.0,2,0.543432
-950.54141,3,0.544959
-855.770544,4,0.547023
-989.053093,3,0.548557
-935.286343,3,0.550105
-1000.0,1,0.550648
-1000.0,1,0.551193
-677.455647,7,0.554712
-1000.0,1,0.555267
-898.149482,3,0.556805
-709.849483,6,0.559889
-880.254533,5,0.562425
-994.764934,2,0.563462
-728.019303,5,0.565999
-421.002724,13,0.572455
-1000.0,1,0.572999
-998.823954,2,0.574048
-1000.0,1,0.574587
-898.312959,3,0.576114
-1000.0,1,0.576657
-800.0,3,0.578201
-795.918641,5,0.580718
-1000.0,1,0.581258
-1000.0,1,0.58181
-899.087847,3,0.583344
-1000.0,1,0.583889
-1000.0,1,0.584439
-1000.0,1,0.58498
-955.371063,3,0.586524
-980.104773,2,0.587574
-900.0,2,0.588616
-720.465462,6,0.591642
-963.943978,2,0.592692
-903.148205,4,0.594709
-800.0,3,0.596233
-966.227977,2,0.597289
-1000.0,1,0.597843
-556.35646,7,0.601358
-937.160849,2,0.602411
-800.0,3,0.603946
-990.101624,3,0.605476
-900.0,2,0.606527
-806.525509,11,0.612039
-922.908095,2,0.613097
-914.713445,4,0.615129
-972.822963,2,0.616174
-961.669337,3,0.617832
-867.869092,3,0.619524
-833.175885,5,0.6237
-741.662349,5,0.626313
-866.433151,4,0.628361
-819.370092,3,0.629907
-862.601698,4,0.631955
-903.598226,5,0.634528
-1000.0,1,0.635081
-900.0,2,0.636139
-800.0,3,0.637703
-995.811138,2,0.638758
-975.45864,2,0.639803
-900.0,2,0.640856
-998.042655,3,0.64243
-997.69996,3,0.643965
-951.412594,6,0.647597
-890.343414,4,0.65005
-998.18074,2,0.651123
-898.083193,4,0.653162
-544.294364,10,0.658249
-947.571456,3,0.659811
-1000.0,1,0.660357
-844.688007,3,0.661928
-865.345136,5,0.66444
-1000.0,1,0.66498
-1000.0,1,0.665517
-1000.0,1,0.666074
-905.803285,3,0.667614
-1000.0,1,0.668159
-990.38574,3,0.669709
-907.676369,5,0.672238
-974.53816,3,0.67379
-792.496502,5,0.676305
-965.764629,2,0.677355
-890.481109,4,0.679408
-785.052429,7,0.682917
-750.122293,5,0.685445
-1000.0,1,0.685993
-545.201041,8,0.69002
-1000.0,1,0.690566
-1000.0,1,0.691101
-955.560791,3,0.692631
-1000.0,1,0.693171
-891.726284,4,0.695212
-908.573289,3,0.696743
-963.499684,4,0.698763
-570.8065,10,0.703776
-989.607162,3,0.70531
-942.048949,3,0.706847
-879.103149,5,0.70936
-949.293135,5,0.711875
-790.587361,5,0.714392
-984.48931,2,0.715426
-970.338326,3,0.716959
-991.359226,3,0.718499
-864.516197,4,0.720531
-302.260021,9,0.725026
-866.366389,3,0.726564
-900.0,2,0.727594
-879.512564,3,0.729107
-972.461794,2,0.730148
-594.623765,9,0.73465
-738.901696,4,0.736674
-900.0,2,0.737721
-874.891284,5,0.740239
-1000.0,1,0.740783
-1000.0,1,0.741324
-789.426236,5,0.743851
-995.809176,2,0.744895
-952.56426,2,0.745939
-899.053082,3,0.747471
-885.782845,3,0.749007
-1000.0,1,0.749558
-619.915823,10,0.754557
-989.646546,2,0.755589
-831.126093,4,0.757615
-469.279423,9,0.762145
-938.401675,2,0.76319
-848.122469,4,0.765213
-999.038768,2,0.766258
-935.384848,2,0.767295
-555.983701,7,0.770797
-998.837085,2,0.771844
-677.264371,7,0.775362
-784.769267,5,0.777888
-849.053184,3,0.77941
-900.0,2,0.780453
-541.746015,10,0.785385
-1000.0,1,0.785939
-1000.0,1,0.786483
-950.998537,4,0.788515
-800.912511,3,0.79005
-1000.0,1,0.790592
-977.350388,2,0.791625
-947.777804,3,0.793152
-900.0,2,0.794207
-797.160909,4,0.796234
-884.39757,3,0.797761
-1000.0,1,0.798298
-811.96225,3,0.799829
-969.115917,3,0.801358
-982.018791,2,0.802402
-868.704335,5,0.804915
-876.109305,5,0.80742
-853.73542,5,0.809932
-596.37245,7,0.813421
-913.926722,4,0.81545
-1000.0,1,0.815995
-1000.0,1,0.816541
-870.253502,5,0.819076
-975.266932,3,0.82061
-900.0,2,0.821657
-410.822371,7,0.825127
-900.0,2,0.826164
-780.931305,4,0.828162
-997.972665,3,0.829696
-900.0,2,0.830726
-819.813443,6,0.833723
-789.113254,6,0.836723
-996.327333,2,0.83777
-713.808884,4,0.839787
-996.414341,2,0.840812
-1000.0,1,0.841352
-988.388464,2,0.842392
-1000.0,1,0.842933
-680.563188,8,0.846937
-1000.0,1,0.847481
-1000.0,1,0.848022
-806.582368,4,0.850052
-984.255296,2,0.85109
-1000.0,1,0.851637
-800.0,3,0.853177
-840.778528,3,0.854709
-876.10617,3,0.856223
-742.872611,4,0.85824
-898.871688,4,0.860265
-679.040885,6,0.863292
-992.375682,3,0.864826
-900.0,2,0.865891
-897.642513,4,0.867912
-921.805111,3,0.869431
-1000.0,1,0.869979
-1000.0,1,0.870515
-941.642107,2,0.871539
-1000.0,1,0.872073
-639.987251,5,0.874572
-1000.0,1,0.875112
-989.980663,2,0.876227
-1000.0,1,0.876763
-954.371238,2,0.877804
-885.209796,3,0.879333
-969.430877,2,0.880362
-1000.0,1,0.881061
-1000.0,1,0.882044
-900.0,2,0.883102
-780.455071,4,0.885148
-1000.0,1,0.885704
-849.564995,5,0.888229
-697.931564,6,0.891393
-1000.0,1,0.891942
-998.975554,2,0.892978
-910.042216,2,0.894009
-700.0,4,0.896028
-834.712037,5,0.898544
-900.0,2,0.89957
-998.12918,2,0.9006
-900.0,2,0.901633
-1000.0,1,0.902171
-791.121473,5,0.904673
-1000.0,1,0.90521
-628.91638,6,0.908195
-1000.0,1,0.908746
-900.0,2,0.909781
-712.82704,8,0.913744
-735.079076,6,0.916753
-1000.0,1,0.917295
-734.769232,4,0.919314
-952.030478,2,0.920339
-935.030214,5,0.922829
-1000.0,1,0.923368
-993.890279,4,0.925387
-765.247071,6,0.928373
-827.739051,4,0.930389
-1000.0,1,0.930931
-990.473132,2,0.931961
-922.802178,3,0.933476
-823.575329,5,0.935982
-970.994917,2,0.93702
-728.496036,4,0.939049
-873.47582,3,0.940587
-1000.0,1,0.941124
-1000.0,1,0.941674
-939.947656,5,0.94419
-996.598927,2,0.945222
-598.122885,9,0.949698
-1000.0,1,0.950237
-952.579532,4,0.952246
-758.400215,8,0.956211
-896.867048,3,0.95775
-99.136672,13,0.964265
