#{"t_start": 1715267370.3030345, "env_id": "None"}
r,l,t
-587814.141917,1001,2.738449
-589744.141221,1001,5.244916
-602439.182922,1001,7.71691
-594472.447938,1001,10.245117
-593811.842161,1001,12.747303
-592191.250446,1001,15.298334
-587429.922457,1001,17.835607
-591905.914688,1001,20.392782
-606323.783005,1001,22.957129
-588835.263501,1001,25.509993
-597575.796891,1001,28.102351
-591852.115019,1001,30.648924
-589117.568984,1001,33.252723
-585417.65513,1001,35.824389
-593561.755962,1001,38.422223
-580993.724934,1001,41.006135
-588854.71584,1001,43.591371
-590095.450339,1001,46.202219
-581875.786745,1001,48.77687
-590086.964811,1001,51.389498
-587261.241654,1001,53.948247
-607380.898281,1001,56.513981
-596055.280321,1001,59.102448
-596456.292032,1001,61.68863
-591715.399316,1001,64.294966
-598222.843656,1001,66.878115
-584928.748356,1001,69.497041
-567236.626363,1001,72.077606
-600358.593245,1001,74.690077
-591966.620427,1001,77.28447
-579033.037096,1001,79.881117
-596558.252535,1001,82.49041
-594642.645611,1001,85.105155
-588431.330166,1001,87.750664
-591909.504423,1001,90.300466
-593828.982523,1001,92.883565
-584372.462099,1001,95.505021
-581326.742419,1001,98.197955
-598408.654098,1001,100.849516
-587538.268931,1001,103.553794
-591809.99726,1001,106.294676
-588266.985806,1001,108.931278
-588331.14043,1001,111.658494
-590816.092699,1001,114.308514
-588771.885939,1001,117.011591
-589734.140303,1001,119.722424
-603112.286431,1001,122.416844
-577721.027113,1001,125.158732
-590586.109707,1001,127.797757
